,num_languages,speaks_english,gender_tuned,income_level,num_teaches,num_ratings,avg_rating,price,is_featured,first_letter,position
4124,2,1,1,-0.6256649176058957,1,4.0,4.9,0.7338936729780547,1,0.72,1
6485,2,1,0,0.5046765858877185,1,0.0,0.0,-0.553682140729194,1,0.36,1
41,2,1,0,-0.8252373973240489,1,1.0,5.0,-0.2961669779877442,1,0.6,1
2470,3,1,1,-0.1737759102087169,1,21.0,4.9,1.2489239984609541,1,0.12,1
344,3,1,1,3.278941434948302,1,4.0,5.0,3.9528332072461763,1,0.52,1
5485,4,1,1,0.38043203117706714,1,11.0,5.0,-0.553682140729194,0,0.48,1
939,3,1,0,-1.0900939014560276,1,13.0,4.9,1.2489239984609541,1,0.04,1
3933,3,1,1,-1.1069079318993653,1,4.0,5.0,-0.2961669779877442,1,0.52,1
1092,4,1,1,-1.007978710582423,3,19.0,4.9,-0.6824397220999188,1,0.56,1
2691,2,1,1,-0.36895422355331076,1,2.0,5.0,-0.42492455935846907,1,0.48,1
1030,13,1,1,-1.1409684677794216,1,13.0,4.9,1.7639543239438535,1,0.72,1
1186,3,1,1,1.637954986843218,1,4.0,5.0,2.407742230797478,1,0.48,1
3802,4,1,1,-0.7522222483432779,1,21.0,5.0,-0.038651815246294484,1,0.04,1
1226,3,1,1,-1.0283343464620052,1,50.0,4.8,-0.2961669779877442,1,0.08,1
4660,2,1,1,0.9694187341863847,1,4.0,5.0,0.9914088357195044,1,0.16,1
3410,4,1,1,-0.8375768499105746,1,5.0,4.3,0.7338936729780547,1,0.68,1
1477,3,1,1,2.3552722741594767,1,15.0,4.9,5.1116514395827,1,0.84,1
2200,8,1,0,-0.6162165468863823,1,0.0,0.0,-1.0687124662120935,1,0.12,1
5770,3,1,1,1.2984659381360757,1,4.0,4.7,1.2489239984609541,1,0.0,1
3191,4,1,1,-0.38898043012482086,2,90.0,4.9,2.2789846494267527,1,0.12,1
836,3,1,1,0.029229734914315377,1,15.0,4.9,0.21886334749515524,1,0.72,1
1113,4,1,1,-0.7522222483432779,3,31.0,4.9,-0.16740939661701934,1,0.52,1
1044,2,1,1,-1.1409684677794216,3,152.0,4.8,-0.2961669779877442,1,0.0,2
1167,3,1,1,1.637954986843218,2,9.0,4.8,0.7338936729780547,1,0.48,2
3884,11,1,0,-0.7522222483432779,1,63.0,4.9,-0.553682140729194,1,0.08,2
4923,3,1,1,0.38043203117706714,1,13.0,5.0,0.34762092886588014,0,0.0,2
2493,5,1,1,-0.1737759102087169,2,18.0,4.9,0.6051360916073298,1,0.32,2
1094,2,1,1,-0.5423873264804793,1,13.0,4.9,0.8626512543487795,1,0.76,2
1248,2,1,0,-1.0283343464620052,1,1.0,5.0,-0.2961669779877442,1,0.96,2
492,2,1,0,1.3123254414621046,1,1.0,5.0,0.6051360916073298,1,0.76,2
736,4,1,0,-0.7748697314615107,3,142.0,4.9,1.7639543239438535,1,0.84,2
4448,2,1,1,-0.6894251569287025,1,13.0,4.9,-0.038651815246294484,1,0.96,2
3025,2,1,0,1.084667775376764,1,16.0,4.7,0.09010576612443039,1,0.12,2
4836,4,1,1,0.9694187341863847,1,0.0,0.0,0.9914088357195044,1,0.52,2
6265,4,1,1,0.9830859694716702,1,7.0,5.0,0.7338936729780547,1,0.44,2
6548,3,1,0,0.5046765858877185,1,36.0,4.9,1.2489239984609541,1,0.4,2
3642,2,1,0,-1.0900939014560276,1,8.0,4.9,-0.9399548848413686,1,0.48,2
27,3,1,0,-0.8252373973240489,1,6.0,5.0,-0.6824397220999188,1,0.04,2
927,4,1,1,1.1544823704040392,1,7.0,4.9,2.407742230797478,1,0.48,2
2022,1,1,1,-0.6162165468863823,1,5.0,5.0,0.21886334749515524,1,0.0,2
3920,2,1,1,-1.1069079318993653,1,14.0,4.9,-0.2961669779877442,1,0.76,2
3189,2,1,1,-0.38898043012482086,1,16.0,5.0,1.7639543239438535,1,0.4,2
1109,3,1,1,-0.7522222483432779,1,4.0,5.0,0.21886334749515524,1,0.48,2
3694,2,1,1,-1.0600470866597649,1,7.0,4.9,0.21886334749515524,1,0.88,3
2538,3,1,1,-0.1737759102087169,1,28.0,5.0,2.0214694866853034,1,0.52,3
6356,3,1,1,-1.03727468289449,1,11.0,5.0,1.2489239984609541,1,0.72,3
1084,3,1,0,-0.5423873264804793,1,5.0,4.9,-0.2961669779877442,1,0.08,3
4511,2,1,1,-0.6894251569287025,1,9.0,5.0,-0.2961669779877442,1,1067.72,3
1099,2,1,1,2.3552722741594767,1,4.0,4.9,0.21886334749515524,1,0.0,3
3242,2,1,1,-0.38898043012482086,1,10.0,5.0,-0.038651815246294484,1,0.0,3
