,num_languages,speaks_english,gender_tuned,income_level,avg_lessons_per_students,num_ratings,avg_rating,price,first_letter,position
266,7,1,1,-1.150638609273902,27.6,388,4.975806451612904,-0.349525772431061,0.52,1
2115,3,1,0,-0.9702651643910494,14.8,143,4.976923076923077,-0.349525772431061,0.52,1
2004,6,1,1,0.6357339238057134,19.7,292,5.0,4.713507159149569,0.12,1
1719,2,1,0,-0.6219307946205859,44.7,92,5.0,-0.462037615355075,0.72,1
152,5,1,1,-0.2114000960816504,11.4,698,4.9984,0.10052159926499507,0.44,1
181,4,1,0,0.7879536366468665,23.6,454,4.994594594594593,3.0595830681665634,0.24,1
30,3,1,1,0.9281364340668959,8.5,45,5.0,2.238246614821261,0.12,1
196,4,1,0,-1.2506706607626494,16.9,36,4.971428571428572,-0.574549458279089,0.68,1
209,4,1,1,-0.71906177664957,28.1,830,5.0,0.6630808138850651,0.08,1
217,5,1,1,0.9281364340668959,9.5,379,4.96986301369863,-0.349525772431061,0.72,1
249,5,1,1,0.9269284984211242,19.8,87,5.0,2.238246614821261,0.76,1
2053,3,1,1,0.21085137905264484,13.6,639,4.968954248366012,0.5505689709610511,0.48,1
1300,3,1,1,0.6235958472816938,9.4,49,5.0,-0.349525772431061,0.2,1
1254,0,0,0,-0.849647258420382,12.3,359,4.988636363636363,-0.349525772431061,0.0,1
1091,3,1,0,-0.9054193161092493,13.7,25,4.96,-0.8051987362733178,0.56,1
486,3,1,1,-0.7846306139666804,24.8,348,4.991097922848665,-0.349525772431061,0.52,1
1058,3,1,0,-0.9054193161092493,12.5,14,5.0,-0.23701392950704697,0.12,1
516,2,1,1,-0.3916924525002332,13.8,104,5.0,0.5505689709610511,0.72,1
385,5,1,1,0.27875322738533215,9.9,76,5.0,-0.01199024365901894,0.24,1
985,5,1,0,-0.5828188124794816,9.9,131,5.0,-0.01199024365901894,0.48,1
1122,2,1,0,-1.2204209882918502,0.0,0,0.0,-1.4746442016712011,0.76,1
847,6,1,1,0.7259502483063693,13.7,376,4.9882697947214085,1.6756874002011912,0.12,1
1250,4,1,0,-0.8496482779171574,24.7,488,4.965811965811966,1.1131281855811213,0.12,2
2046,3,1,0,0.21085137905264484,10.7,92,4.956521739130435,0.5505689709610511,0.72,2
513,2,1,1,1.8543931495998422,23.3,183,5.0,-0.23701392950704697,1.0,2
2001,4,1,0,0.6357339238057134,11.6,54,5.0,2.238246614821261,0.08,2
1838,5,1,1,0.10050792763096117,8.6,169,4.96969696969697,1.1131281855811213,0.48,2
149,5,1,1,-0.9255328853445368,15.0,499,5.0,-0.687061301203103,0.68,2
175,6,1,1,0.7879536366468665,9.4,75,4.796875,2.800805829441331,0.48,2
186,2,1,1,1.8543931495998422,11.9,147,4.965986394557824,-0.01199024365901894,0.6,2
978,9,1,1,-0.5828188124794816,11.8,474,4.982978723404256,0.7755926568090792,0.12,2
200,9,1,1,-0.71906177664957,23.3,226,5.0,1.1131281855811213,0.0,2
214,4,1,1,-1.0811412733491654,16.0,44,5.0,2.1482371404820504,0.48,2
382,2,1,1,0.27875322738533215,27.8,92,5.0,-0.462037615355075,0.16,2
1055,4,1,0,-1.2054881958185868,31.6,199,4.963541666666667,-1.249620515823173,0.32,2
256,3,1,0,-1.150638609273902,17.8,92,4.988235294117646,-1.362132358747187,0.0,2
1295,2,1,1,0.6235958472816938,23.7,142,5.0,0.6630808138850651,0.48,2
1120,4,1,1,-1.2204209882918502,12.6,364,4.935393258426966,-0.799573144127117,0.76,2
943,2,1,0,1.8543931495998422,8.8,328,4.965838509316769,-0.4282840624778707,0.24,2
239,5,1,1,1.2173329143947818,9.2,109,4.9901960784313735,-0.01199024365901894,0.0,2
483,13,1,0,-1.1740520504429195,32.9,1730,4.996503496503498,-0.01199024365901894,0.72,2
