,position,language,gender_tuned,income_level,price
0,2,Thai,male,7806.742211,6
1,3,Thai,female,7806.742211,9
2,4,Thai,female,7806.742211,9
3,5,Thai,male,7806.742211,9
4,6,Thai,female,7806.742211,9
5,7,Thai,male,7806.742211,9
6,8,Thai,female,7806.742211,9
7,10,Thai,female,7806.742211,18
8,11,Thai,male,7806.742211,6
9,12,Thai,male,7806.742211,12
10,13,Thai,male,7806.742211,12
11,14,Thai,female,7806.742211,12
12,15,Thai,female,7806.742211,15
13,16,Thai,female,7806.742211,9
14,17,Thai,female,7806.742211,9
15,18,Thai,female,7806.742211,9
16,19,Thai,female,7806.742211,15
17,20,Thai,male,7806.742211,9
18,21,Thai,female,7806.742211,15
19,22,Thai,female,7806.742211,9
20,23,Thai,male,10261.67925,18
21,24,Thai,female,7806.742211,9
22,26,Thai,female,7806.742211,6
23,27,Thai,female,7806.742211,12
24,28,Thai,female,7806.742211,9
25,29,Thai,female,2715.276036,9
26,30,Thai,male,7806.742211,6
27,31,Thai,female,7806.742211,9
28,32,Thai,female,7806.742211,9
29,33,Thai,female,7806.742211,12
30,35,Thai,female,7806.742211,15
31,36,Thai,female,7806.742211,15
32,37,Thai,female,7806.742211,12
33,38,Thai,female,7806.742211,9
34,39,Thai,female,7806.742211,9
35,40,Thai,female,7806.742211,9
36,41,Thai,female,7806.742211,12
37,42,Thai,male,7806.742211,9
38,43,Thai,male,7806.742211,9
39,44,Thai,female,7806.742211,12
40,45,Thai,male,7806.742211,9
41,46,Thai,female,7806.742211,15
42,47,Thai,male,7806.742211,9
43,48,Thai,female,7806.742211,15
44,49,Thai,female,7806.742211,12
45,50,Thai,female,7806.742211,9
46,52,Thai,female,7806.742211,9
47,53,Thai,female,7806.742211,9
48,54,Thai,female,7806.742211,9
49,56,Thai,female,7806.742211,12
50,57,Thai,female,7806.742211,12
51,58,Thai,female,42330.11754,15
52,59,Thai,male,7806.742211,9
53,61,Thai,female,7806.742211,12
54,62,Thai,female,7806.742211,12
55,63,Thai,female,7806.742211,6
56,64,Thai,female,7806.742211,9
57,65,Thai,female,7806.742211,12
58,67,Thai,male,7806.742211,12
59,68,Thai,male,7806.742211,6
60,69,Thai,male,7806.742211,15
61,70,Thai,male,7806.742211,9
62,71,Thai,female,7806.742211,12
63,72,Thai,female,7806.742211,9
64,73,Thai,female,7806.742211,12
65,74,Thai,female,7806.742211,15
66,75,Thai,male,7806.742211,6
67,76,Thai,male,7806.742211,21
68,77,Thai,female,7806.742211,9
69,78,Thai,male,7806.742211,21
70,79,Thai,female,7806.742211,12
71,1,German,male,46445.2491,15
72,2,German,male,46445.2491,39
73,3,German,female,46445.2491,24
74,4,German,male,46445.2491,24
75,5,German,male,46445.2491,15
76,6,German,male,46445.2491,21
77,7,German,male,46445.2491,12
78,8,German,male,50137.66278,15
79,9,German,male,65297.51751,36
80,10,German,male,9912.281809,24
81,11,German,female,11584.99538,15
82,12,German,male,46445.2491,15
83,13,German,male,50137.66278,24
84,14,German,male,46445.2491,15
85,15,German,male,46445.2491,12
86,16,German,male,50137.66278,18
87,17,German,male,46445.2491,48
88,18,German,female,46445.2491,15
89,19,German,male,46445.2491,21
90,20,German,female,46445.2491,51
91,21,German,female,3659.031312,12
92,22,German,female,81993.72713,60
