,language,position,gender_tuned,income_level,price
0,Thai,27,female,7806.742211,18
1,Thai,30,female,7806.742211,12
2,Thai,16,female,7806.742211,6
3,Thai,21,female,7806.742211,12
4,Thai,41,female,7806.742211,9
5,Thai,7,female,7806.742211,12
6,Thai,12,female,7806.742211,15
7,Thai,51,female,7806.742211,18
8,Thai,24,female,7806.742211,12
9,Thai,56,female,7806.742211,12
10,Thai,58,female,7806.742211,12
11,Thai,43,female,7806.742211,21
12,Thai,54,male,7806.742211,18
13,Thai,34,female,7806.742211,9
14,Thai,38,female,7806.742211,15
15,Thai,50,male,7806.742211,15
16,Thai,9,female,7806.742211,12
17,Thai,36,female,7806.742211,18
18,Thai,46,female,7806.742211,21
19,Thai,40,female,7806.742211,18
20,Thai,31,female,7806.742211,21
21,Thai,28,female,7806.742211,15
22,Thai,49,male,7806.742211,9
23,Thai,52,female,7806.742211,9
24,Thai,57,female,7806.742211,9
25,Thai,45,female,7806.742211,15
26,Thai,3,female,7806.742211,15
27,Thai,2,male,7806.742211,9
28,Thai,29,female,7806.742211,9
29,Thai,15,female,7806.742211,15
30,Thai,47,female,7806.742211,21
31,Thai,25,female,7806.742211,12
32,Thai,55,male,7806.742211,18
33,Thai,14,female,7806.742211,12
34,Thai,8,female,7806.742211,6
35,Thai,18,female,7806.742211,12
36,Thai,11,female,7806.742211,15
37,Thai,48,male,7806.742211,12
38,Thai,44,female,7806.742211,15
39,Thai,4,female,7806.742211,15
40,Thai,23,female,7806.742211,12
41,Thai,1,male,7806.742211,12
42,Thai,35,female,7806.742211,21
43,Thai,32,female,7806.742211,9
44,Thai,6,female,7806.742211,15
45,Thai,22,female,7806.742211,12
46,Thai,13,male,65297.51751,12
47,Thai,37,female,7806.742211,12
48,Thai,10,female,7806.742211,12
49,Thai,26,female,7806.742211,12
50,Thai,5,female,7806.742211,15
51,Thai,42,female,7806.742211,15
52,Thai,17,female,7806.742211,12
53,Thai,33,female,7806.742211,18
54,Thai,53,female,7806.742211,12
55,Thai,19,female,7806.742211,12
56,Thai,20,male,7806.742211,12
57,Thai,39,female,7806.742211,12
58,German,309,male,81993.72713,24
