,language,position,gender_tuned,income_level,price
0,Thai,18,female,7806.742211,18
1,Thai,5,female,7806.742211,18
2,Thai,4,female,7806.742211,24
3,Thai,16,female,7806.742211,15
4,Thai,11,female,7806.742211,18
5,Thai,3,male,7806.742211,15
6,Thai,19,female,7806.742211,15
7,Thai,10,female,10261.67925,21
8,Thai,7,female,7806.742211,0
9,Thai,6,male,42330.11754,21
10,Thai,15,female,7806.742211,15
11,Thai,9,female,7806.742211,18
12,Thai,14,female,7806.742211,21
13,Thai,13,female,7806.742211,15
14,Thai,17,female,7806.742211,21
15,German,21,female,46445.2491,39
16,German,59,female,46445.2491,27
17,German,35,female,46445.2491,30
18,German,18,male,46445.2491,33
19,German,75,male,46445.2491,21
20,German,28,female,46445.2491,0
21,German,56,male,46445.2491,36
22,German,42,male,46445.2491,24
23,German,73,female,46445.2491,45
24,German,2,male,46445.2491,33
25,German,69,female,50137.66278,36
26,German,23,male,46445.2491,0
27,German,5,female,46445.2491,30
28,German,24,male,46445.2491,27
29,German,48,male,46445.2491,27
30,German,1,female,46445.2491,39
31,German,52,female,46445.2491,48
32,German,4,female,46445.2491,30
33,German,36,female,46445.2491,0
34,German,66,female,46445.2491,60
35,German,50,male,46445.2491,15
36,German,26,male,65297.51751,24
37,German,54,female,65297.51751,30
38,German,62,female,11584.99538,36
39,German,49,male,46445.2491,36
40,German,31,male,46445.2491,39
41,German,60,male,42330.11754,21
42,German,61,male,46445.2491,33
43,German,27,female,50137.66278,30
44,German,67,female,46445.2491,48
45,German,16,male,46445.2491,42
46,German,47,male,46445.2491,39
47,German,11,male,50137.66278,33
48,German,8,female,46445.2491,30
49,German,43,male,46445.2491,9
50,German,19,female,65297.51751,39
51,German,33,female,46445.2491,24
52,German,38,male,46445.2491,21
53,German,10,male,46445.2491,27
54,German,45,male,46445.2491,30
55,German,72,male,46445.2491,27
56,German,22,female,46445.2491,45
57,German,34,female,65297.51751,24
58,German,55,male,46445.2491,36
59,German,51,male,46445.2491,36
60,German,57,female,50137.66278,24
61,German,20,male,46445.2491,48
62,German,71,female,46445.2491,27
63,German,7,female,46445.2491,0
64,German,40,male,46445.2491,30
65,German,6,male,46445.2491,0
66,German,15,female,46445.2491,30
67,German,58,female,46445.2491,45
68,German,65,male,46445.2491,30
69,German,25,female,46445.2491,39
70,German,70,male,46445.2491,24
71,German,39,male,46445.2491,0
72,German,37,male,46445.2491,27
73,German,44,female,46445.2491,24
74,German,68,female,46445.2491,30
75,German,63,female,46445.2491,30
76,German,64,female,46445.2491,42
77,German,9,female,46445.2491,0
78,German,14,female,46445.2491,39
79,German,13,male,46445.2491,33
80,German,32,female,46445.2491,51
81,German,41,female,46445.2491,51
82,German,46,female,46445.2491,33
83,German,29,male,46445.2491,24
84,German,17,male,19266.2755,27
85,German,53,male,46445.2491,18
86,German,74,female,46445.2491,33
87,German,30,male,46445.2491,33
88,Portuguese,21,female,8717.186278,24
89,Portuguese,18,female,8717.186278,12
90,Portuguese,73,female,8717.186278,18
91,Portuguese,83,female,23252.05852,21
92,Portuguese,23,male,23252.05852,18
93,Portuguese,24,male,8717.186278,12
94,Portuguese,77,male,8717.186278,21
95,Portuguese,89,female,8717.186278,9
96,Portuguese,11,female,8717.186278,18
97,Portuguese,80,male,23252.05852,21
98,Portuguese,34,female,23252.05852,15
99,Portuguese,76,male,8717.186278,21
100,Portuguese,6,male,8717.186278,18
101,Portuguese,58,female,8717.186278,15
102,Portuguese,81,female,65297.51751,18
103,Portuguese,13,female,8717.186278,9
104,Portuguese,29,female,8717.186278,18
105,Portuguese,12,female,8717.186278,12
106,Portuguese,53,female,8717.186278,9
107,Portuguese,35,male,8717.186278,9
108,Portuguese,56,female,8717.186278,12
109,Portuguese,36,male,23252.05852,18
110,Portuguese,66,male,8717.186278,9
111,Portuguese,67,female,8717.186278,24
112,Portuguese,49,female,23252.05852,12
113,Portuguese,8,female,8717.186278,12
114,Portuguese,3,male,8717.186278,9
115,Portuguese,38,female,8717.186278,12
116,Portuguese,57,female,8717.186278,21
117,Portuguese,88,female,23252.05852,15
118,Portuguese,7,male,23252.05852,30
119,Portuguese,15,male,8717.186278,24
120,Portuguese,9,male,8717.186278,15
121,Portuguese,32,female,8717.186278,9
122,Portuguese,26,female,8717.186278,15
123,Portuguese,62,male,8717.186278,12
124,Portuguese,31,female,8717.186278,9
125,Portuguese,27,female,8717.186278,12
126,Portuguese,47,female,8717.186278,36
127,Portuguese,43,female,8717.186278,18
128,Portuguese,19,female,8717.186278,12
129,Portuguese,33,male,8717.186278,15
130,Portuguese,10,female,8717.186278,21
131,Portuguese,72,male,8717.186278,9
132,Portuguese,22,female,8717.186278,12
133,Portuguese,51,male,8717.186278,18
134,Portuguese,20,female,23252.05852,18
135,Portuguese,71,male,23252.05852,24
136,Portuguese,82,male,8717.186278,12
137,Portuguese,65,female,8717.186278,12
138,Portuguese,78,female,8717.186278,30
139,Portuguese,84,female,8717.186278,21
140,Portuguese,85,female,23252.05852,21
141,Portuguese,14,female,8717.186278,18
142,Portuguese,46,female,23252.05852,24
143,Portuguese,74,female,8717.186278,15
144,Portuguese,30,male,8717.186278,15
145,Portuguese,59,male,8717.186278,9
146,Portuguese,75,male,8717.186278,6
147,Portuguese,28,male,8717.186278,12
148,Portuguese,42,male,8717.186278,12
149,Portuguese,2,female,8717.186278,15
150,Portuguese,69,female,8717.186278,9
151,Portuguese,5,female,8717.186278,9
152,Portuguese,1,female,23252.05852,21
153,Portuguese,48,female,33228.23668,21
154,Portuguese,52,female,8717.186278,15
155,Portuguese,4,female,8717.186278,21
156,Portuguese,50,female,8717.186278,15
157,Portuguese,54,female,8717.186278,18
158,Portuguese,70,male,8717.186278,18
159,Portuguese,60,male,8717.186278,18
160,Portuguese,61,female,23252.05852,15
161,Portuguese,16,female,23252.05852,24
162,Portuguese,87,female,23252.05852,21
163,Portuguese,86,female,8717.186278,21
164,Portuguese,79,female,8717.186278,15
